,n,rr2,rr3,comp2,comp3,logn
0,32,0.9220128642985906,0.5225613699361982,0.002252817153930664,0.0026476383209228516,3.4657359027997265
1,64,0.9251866333712582,0.9262445563954804,0.003159046173095703,0.0039670467376708984,4.1588830833596715
2,128,0.9253377634384058,0.9253881401274546,0.005185365676879883,0.006412982940673828,4.852030263919617
3,256,0.9254008840908564,0.9254219243083399,0.016054153442382812,0.017432212829589844,5.545177444479562
4,512,0.9254127179357919,0.9254166625507703,0.06159472465515137,0.06251335144042969,6.238324625039508
5,1024,0.9254174945091153,0.9254190867002228,0.2207779884338379,0.23218989372253418,6.931471805599453
6,2048,0.9254195162336396,0.9254201901418144,0.8524632453918457,0.9069578647613525,7.6246189861593985
7,4096,0.9254202320321212,0.9254204706316147,3.378545045852661,3.681776523590088,8.317766166719343
8,8192,0.9254203983959222,0.9254204538505222,13.629303693771362,14.739946126937866,9.010913347279288
9,16384,0.9254205013270471,0.9254205356374219,54.03025555610657,58.37665510177612,9.704060527839234
10,32768,0.9254205254392791,0.9254205334766898,215.27358651161194,226.93896865844727,10.39720770839918
