n,c_n,comput_time -sec-,comput_time_rapport
4,45.9922981883171,0.0009779930114746094,
8,-18.91103427979786,0.001065969467163086,1.0899561189663578
16,0.2626374495969692,0.0012409687042236328,1.1641690896891075
32,0.1610768392716082,0.0020101070404052734,1.6197886647454371
64,0.15140451497416052,0.004919767379760742,2.447515122761238
128,0.143325071460481,0.016611576080322266,3.3764962442452147
256,0.14029560715698608,0.05785250663757324,3.482662112122169
512,0.13785000161544758,0.2259383201599121,3.9054197180312467
1024,0.1357797557025151,0.9042980670928955,4.002411217596296
2048,0.1343138004122011,3.6723203659057617,4.060962308270108
4096,0.1336323742834793,14.989242792129517,4.081681688583421
8192,0.13278916250783368,60.25521445274353,4.019897154803715
